node_id,phase,start_day,duration,trigger,age_min,age_max,coverage,seek,rate,drug,year
2,pickup,1096,365,NewClinicalCase,15,115,0.024629103,1,0.3,AL,2013
2,pickup,1096,365,NewSevereCase,0,115,0.3,1,0.2,AL,2013
2,pickup,1461,365,NewClinicalCase,0,5,0.157257711,1,0.3,AL,2014
2,pickup,1461,365,NewClinicalCase,5,15,0.094354627,1,0.3,AL,2014
2,pickup,1461,365,NewClinicalCase,15,115,0.062903085,1,0.3,AL,2014
2,pickup,1461,365,NewSevereCase,0,115,0.3,1,0.2,AL,2014
2,pickup,1826,365,NewClinicalCase,0,5,0.252942667,1,0.3,AL,2015
2,pickup,1826,365,NewClinicalCase,5,15,0.1517656,1,0.3,AL,2015
2,pickup,1826,365,NewClinicalCase,15,115,0.101177067,1,0.3,AL,2015
2,pickup,1826,365,NewSevereCase,0,115,0.3,1,0.2,AL,2015
2,pickup,2191,365,NewClinicalCase,0,5,0.348627622,1,0.3,AL,2016
2,pickup,2191,365,NewClinicalCase,5,15,0.209176573,1,0.3,AL,2016
2,pickup,2191,365,NewClinicalCase,15,115,0.139451049,1,0.3,AL,2016
2,pickup,2191,365,NewSevereCase,0,115,0.348627622,1,0.2,AL,2016
2,pickup,2556,365,NewClinicalCase,0,5,0.444312577,1,0.3,AL,2017
2,pickup,2556,365,NewClinicalCase,5,15,0.266587546,1,0.3,AL,2017
2,pickup,2556,365,NewClinicalCase,15,115,0.177725031,1,0.3,AL,2017
2,pickup,2556,365,NewSevereCase,0,115,0.444312577,1,0.2,AL,2017
2,pickup,2921,365,NewClinicalCase,0,5,0.434234433,1,0.3,AL,2018
2,pickup,2921,365,NewClinicalCase,5,15,0.26054066,1,0.3,AL,2018
2,pickup,2921,365,NewClinicalCase,15,115,0.173693773,1,0.3,AL,2018
2,pickup,2921,365,NewSevereCase,0,115,0.434234433,1,0.2,AL,2018
2,pickup,3286,365,NewClinicalCase,0,5,0.424156289,1,0.3,AL,2019
2,pickup,3286,365,NewClinicalCase,5,15,0.254493773,1,0.3,AL,2019
2,pickup,3286,365,NewClinicalCase,15,115,0.169662516,1,0.3,AL,2019
2,pickup,3286,365,NewSevereCase,0,115,0.424156289,1,0.2,AL,2019
2,pickup,3651,365,NewClinicalCase,0,5,0.424156289,1,0.3,AL,2020
2,pickup,3651,365,NewClinicalCase,5,15,0.254493773,1,0.3,AL,2020
2,pickup,3651,365,NewClinicalCase,15,115,0.169662516,1,0.3,AL,2020
2,pickup,3651,365,NewSevereCase,0,115,0.424156289,1,0.2,AL,2020
